street_modern,hnyc_street_name,street_alt,Left_Low,Left_High,Right_Low,Right_High,ED_Left,ED_Right,JoinID,Name
FLATBUSH AVE,FLATBUSH AVE,NA,NA,NA,NA,NA,1001,1001,G00001839,FLATBUSH AVE
ATKINS AVE,ATKINS AVE,NA,297,327,298,348,979,979,G00001840,ATKINS AVE
DORCHESTER RD,DORCHESTER RD,NA,1501,1525,NA,NA,1024,1024,G00001841,DORCHESTER RD
QUENTIN RD,Q AVE,NA,2301,2323,2300,2324,1007,1007,G00001842,Q AVE
EAGLE,EAGLE,NA,201,251,200,252,375,375,G00001843,EAGLE
REMSEN AVE,REMSEN AVE,NA,1399,1409,NA,NA,989,989,G00001844,REMSEN AVE
FOSTER AVE,FOSTER AVE,NA,NA,NA,NA,NA,990,990,G00001845,FOSTER AVE
REMSEN AVE,REMSEN AVE,NA,NA,NA,298,NA,957,954,G00001846,REMSEN AVE
20 AVE,20 AVE,BAY 24,8101,8121,8100,8120,1053,1054,G00001847,20 AVE
LORIMER,LORIMER,NA,381,401,382,400,324,325,G00001848,LORIMER
HINCKLEY PL,HINCKLEY PL,NA,39,67,40,72,1019,1019,G00001849,HINCKLEY PL
RUGBY RD,RUGBY RD,NA,725,701,730,702,1406,1406,G00001850,RUGBY RD
CLINTON AVE,CLINTON AVE,NA,215,285,222,290,91,91,G00001851,CLINTON AVE
ELTON,ELTON,NA,397,419,384,428,778,778,G00001852,ELTON
EVERGREEN AVE,EVERGREEN AVE,NA,735,751,790,808,913,916,G00001853,EVERGREEN AVE
MONTGOMERY PL,MONTGOMERY PL,NA,11,59,10,60,569,569,G00001854,MONTGOMERY PL
DECATUR,DECATUR,NA,437,517,426,498,701,700,G00001855,DECATUR
GERRY,GERRY,NA,59,109,52,100,454,456,G00001856,GERRY
4,4,NA,91,101,60,96,221,221,G00001857,4
CONEY ISLAND AVE,CONEY IS AVE,NA,NA,NA,NA,NA,1033,1037,G00001858,CONEY IS AVE
E 35,E 35,NA,1209,1275,1210,1278,1008,1008,G00001859,E 35
COLUMBIA,COLUMBIA,NA,425,439,410,416,250,245,G00001860,COLUMBIA
DREW,DREW,NA,NA,NA,339,375,981,981,G00001861,DREW
5 AVE,5 AVE,NA,8601,8627,8600,8626,1080,1080,G00001862,5 AVE
MAUJER,MAUJER,NA,293,381,294,362,417,417,G00001863,MAUJER
RODNEY,RODNEY,NA,NA,NA,NA,NA,442,442,G00001864,RODNEY
12 AVE,12 AVE,NA,NA,NA,NA,NA,1067,1067,G00001865,12 AVE
E 58,E 58,NA,1537,1573,1538,1594,1001,1001,G00001866,E 58
NEW UTRECHT AVE,NEW UTRECHT AVE,NA,7405,7425,7406,7426,1408,1412,G00001867,NEW UTRECHT AVE
AGATE CT,AGATE CT,NA,1,19,2,20,614,614,G00001868,AGATE CT
BARBEY,BARBEY,NA,553,605,568,598,787,788,G00001869,BARBEY
T AVE,T AVE,NA,1101,1123,1100,1124,1006,1032,G00001870,T AVE
E 71,E 71,NA,2301,2383,2300,2384,1000,1000,G00001871,E 71
FT HAMILTON PKWY,FORT HAMILTON AVE,NA,6101,6123,6100,6124,1068,1087,G00001872,FORT HAMILTON AVE
Y AVE,Y AVE,NA,NA,NA,NA,NA,1004,1004,G00001873,Y AVE
STANLEY AVE,STANLEY AVE,NA,437,549,438,550,984,984,G00001874,STANLEY AVE
E 21,KENMORE PL,KENMORE,2357,2425,2358,2426,1004,1004,G00001875,KENMORE PL
WILLOUGHBY AVE,WILLOUGHBY AVE,NA,285,299,284,300,96,97,G00001876,WILLOUGHBY AVE
BENSON AVE,BENSON AVE,NA,2051,2069,2052,2070,1053,1053,G00001877,BENSON AVE
GREENWOOD AVE,GREENWOOD AVE,NA,801,835,800,836,920,921,G00001878,GREENWOOD AVE
MARCY AVE,MARCY AVE,NA,499,515,492,508,499,481,G00001879,MARCY AVE
1 PL,1 PL,NA,1,61,2,48,79,79,G00001880,1 PL
NEVINS,NEVINS,NA,245,263,242,256,213,212,G00001881,NEVINS
3,3,NA,NA,NA,NA,NA,428,428,G00001882,3
PAERDEGAT N AVE,PAERDEGAT N AVE,NA,NA,NA,NA,NA,990,990,G00001883,PAERDEGAT N AVE
DEBEVOISE AVE,DEBEVOISE AVE,NA,99,115,100,120,408,409,G00001884,DEBEVOISE AVE
DOUGLASS,DOUGLAS,NA,63,121,62,116,199,208,G00001885,DOUGLAS
MC GUINNESS BLVD,OAKLAND,NA,357,371,356,370,368,375,G00001886,OAKLAND
METROPOLITAN AVE,METROPOLITAN AVE,NA,201,253,200,260,285,285,G00001887,METROPOLITAN AVE
NEW YORK AVE,NEW YORK AVE,NA,313,333,320,340,669,670,G00001888,NEW YORK AVE
E 23,DELANCEY PL,E 23,2713,2807,2714,2806,1004,1004,G00001889,DELANCEY PL
GRAHAM AVE,GRAHAM AVE,NA,559,573,560,576,406,403,G00001890,GRAHAM AVE
MASPETH AVE,MASPETH AVE,NA,45,71,40,74,411,411,G00001891,MASPETH AVE
KNICKERBOCKER AVE,KNICKERBOCKER AVE,NA,383,407,386,408,855,854,G00001892,KNICKERBOCKER AVE
KNICKERBOCKER AVE,KNICKERBOCKER AVE,NA,591,609,590,610,883,884,G00001893,KNICKERBOCKER AVE
CLOVE RD,CANARSIE AVE,CANARSIE AVE,NA,NA,NA,NA,940,940,G00001894,CANARSIE AVE
OCEAN PKWY,OCEAN PKWY,NA,NA,NA,NA,NA,1035,1035,G00001895,OCEAN PKWY
16,16,NA,217,257,184,234,546,547,G00001896,16
51,51,NA,1301,1381,1300,1378,1062,1062,G00001897,51
41,41,NA,1211,1283,1214,1284,1066,1066,G00001898,41
BROADWAY,BROADWAY,NA,327,337,326,338,321,442,G00001899,BROADWAY
2 PL,2 PL,NA,47,99,58,104,80,80,G00001900,2 PL
E 39,E 39,NA,551,637,550,636,994,994,G00001901,E 39
RALPH AVE,RALPH AVE,NA,NA,NA,NA,NA,665,664,G00001902,RALPH AVE
18 AVE,18 AVE,NA,5501,5523,5500,5524,1060,1060,G00001903,18 AVE
GREENWOOD AVE,GREENWOOD AVE,NA,303,323,304,324,920,922,G00001904,GREENWOOD AVE
R AVE,R AVE,NA,NA,NA,914,944,1031,1031,G00001905,R AVE
E 7,E 7,NA,273,327,308,334,1021,1021,G00001906,E 7
NORMAN AVE,NORMAN,NA,181,205,190,202,377,393,G00001907,NORMAN
DITMAS AVE,DITMAS AVE,NA,1701,1721,1700,1724,1014,1014,G00001908,DITMAS AVE
SHORE RD,SHORE RD,NA,7401,7425,NA,NA,1100,1100,G00001909,SHORE RD
52,52,NA,101,181,100,180,150,150,G00001910,52
VERMONT,VERMONT,NA,773,813,774,814,985,985,G00001911,VERMONT
BRADFORD,BRADFORD,NA,1,5,2,4,761,761,G00001912,BRADFORD
SAINT PAULS PL,SAINT PAUL PL,NA,57,75,58,76,928,928,G00001913,SAINT PAUL PL
KINGSTON AVE,KINGSTON AVE,NA,NA,NA,NA,NA,627,625,G00001914,KINGSTON AVE
E 7,E 7,NA,643,721,644,722,1026,1026,G00001915,E 7
GERRITSEN AVE,GERRITSEN AVE,NA,1913,1955,NA,NA,1001,1005,G00001916,GERRITSEN AVE
OCEAN PKWY,OCEAN PKWY,NA,NA,NA,726,758,1028,1028,G00001917,OCEAN PKWY
NEW LOTS AVE,NEW LOTS AVE,NA,283,289,276,288,806,803,G00001918,NEW LOTS AVE
DUMONT AVE,DUMONT AVE,NA,107,129,108,130,963,963,G00001919,DUMONT AVE
DE KALB AVE,DE KALB AVE,NA,NA,NA,137,146,466,236,G00001920,DE KALB AVE
LEWIS AVE,LEWIS AVE,NA,133,151,140,148,521,516,G00001921,LEWIS AVE
CHURCH AVE,CHURCH AVE,NA,4201,4223,4200,4224,945,992,G00001922,CHURCH AVE
85,85,NA,NA,NA,602,700,1085,1085,G00001923,85
E 54,E 54,NA,1401,1465,1400,1466,1000,1000,G00001924,E 54
FLUSHING AVE,FLUSHING AVE,NA,403,427,394,414,438,87,G00001925,FLUSHING AVE
GARFIELD PL,GARFIELD PL,NA,5,69,10,66,535,535,G00001926,GARFIELD PL
PRESIDENT,PRESIDENT,NA,909,953,902,946,569,569,G00001927,PRESIDENT
BUFFALO AVE,BUFFALO AVE,NA,257,277,254,274,664,663,G00001928,BUFFALO AVE
BROADWAY,BROADWAY,NA,1093,1115,1094,1114,822,522,G00001929,BROADWAY
NASSAU AVE,NASSAU AVE,NA,301,319,296,308,396,396,G00001930,NASSAU AVE
E 33,E 33,NA,1801,1883,1800,1884,1001,1001,G00001931,E 33
W AVE,W AVE,NA,NA,NA,NA,NA,1037,1037,G00001932,W AVE
WYCKOFF AVE,WYCKOFF AVE,NA,301,317,262,280,880,880,G00001933,WYCKOFF AVE
S AVE,S AVE,NA,1301,1323,1300,1322,1006,1006,G00001934,S AVE
5,5,NA,263,339,290,344,538,539,G00001935,5
S AVE,S AVE,NA,1201,1215,1200,1216,1006,1006,G00001936,S AVE
BEVERLEY RD,BEVERLEY RD,NA,5003,5023,5004,5024,991,991,G00001937,BEVERLEY RD
FLUSHING AVE,FLUSHING AVE,NA,NA,NA,1274,1276,416,865,G00001938,FLUSHING AVE
RUBY,RUBY,NA,NA,NA,NA,NA,981,981,G00001939,RUBY
W 9,W 9,NA,2201,2233,2200,2232,1038,1038,G00001940,W 9
FLATBUSH AVE,FLATBUSH AVE,NA,509,529,512,536,682,682,G00001941,FLATBUSH AVE
E 13,E 13,NA,2101,2179,2100,2180,1032,1032,G00001942,E 13
80,80,NA,1301,1371,1300,1384,1078,1078,G00001943,80
ALBEMARLE RD,ALBEMARLE RD,NA,205,221,210,222,925,925,G00001944,ALBEMARLE RD
FARRAGUT RD,FARRAGUT RD,NA,3401,3423,3400,3424,997,997,G00001945,FARRAGUT RD
3 AVE,3 AVE,NA,5701,5723,5700,5726,159,152,G00001946,3 AVE
COYLE,COYLE,NA,NA,NA,NA,NA,1005,1005,G00001947,COYLE
E 3,E 3,NA,NA,NA,NA,NA,1031,1031,G00001948,E 3
BROADWAY,BROADWAY,NA,1437,1459,1428,1462,892,691,G00001949,BROADWAY
20 AVE,20 AVE,BAY 24,8759,8835,8762,8800,1053,1054,G00001950,20 AVE
MARCY AVE,MARCY AVE,NA,255,271,268,284,443,441,G00001951,MARCY AVE
PITKIN AVE,PITKIN AVE,NA,2387,2409,2386,2410,778,778,G00001952,PITKIN AVE
E 14,E 14,NA,1201,1257,1200,1252,1009,1009,G00001953,E 14
JORALEMON,JORALEMON,NA,35,55,34,54,6,9,G00001954,JORALEMON
S 1,S 1,NA,325,349,308,332,307,307,G00001955,S 1
GRAVESEND NECK RD,GRAVSND NK RD,NA,NA,NA,NA,NA,1407,1407,G00001956,GRAVSND NK RD
PUTNAM AVE,PUTNAM AVE,NA,1199,1259,1200,1260,897,898,G00001957,PUTNAM AVE
CHURCH AVE,CHURCH AVE,NA,5101,5123,5100,5124,952,991,G00001958,CHURCH AVE
FLUSHING AVE,FLUSHING AVE,NA,519,535,502,518,447,477,G00001959,FLUSHING AVE
E 22,ELMORE PL,ELMORE,2301,2371,2300,2372,1004,1004,G00001960,ELMORE PL
NORMAN AVE,NORMAN,NA,239,249,238,250,395,395,G00001961,NORMAN
VAN SICKLEN,VAN SIKLER,NA,71,107,76,102,1031,1031,G00001962,VAN SIKLER
REMSEN AVE,REMSEN AVE,NA,NA,NA,NA,NA,987,990,G00001963,REMSEN AVE
SAINT MARKS PL,SAINT MARKS PL,NA,73,137,74,138,172,173,G00001964,SAINT MARKS PL
X AVE,X AVE,NA,2601,2623,2600,2624,1004,1004,G00001965,X AVE
67,67,NA,1601,1693,1600,1692,1408,1408,G00001966,67
I AVE,I AVE,NA,4401,4423,4400,4416,999,999,G00001967,I AVE
E 61,E 61,NA,2001,2081,2000,2082,1000,1000,G00001968,E 61
W 10,W 10,NA,2101,2139,2100,2134,1038,1038,G00001969,W 10
PROSPECT W PARK,W PROSPECT,NA,215,231,212,226,573,573,G00001970,W PROSPECT
EVERGREEN AVE,EVERGREEN AVE,NA,333,351,378,396,867,824,G00001971,EVERGREEN AVE
WASHINGTON AVE,WASHINGTON AVE,NA,691,721,718,746,181,181,G00001972,WASHINGTON AVE
NEW JERSEY AVE,NEWJERSEY AVE,NA,257,303,258,304,758,756,G00001973,NEWJERSEY AVE
LINCOLN PL,LINCOLN PL,NA,1041,1123,1042,1124,661,661,G00001974,LINCOLN PL
E 59,E 59,NA,NA,NA,NA,NA,990,990,G00001975,E 59
11,11,NA,499,569,492,566,558,558,G00001976,11
46,46,NA,701,783,NA,NA,146,146,G00001977,46
NEWKIRK AVE,NEWKIRK AVE,NA,NA,NA,NA,NA,1025,1025,G00001978,NEWKIRK AVE
86,86,NA,2033,2061,2032,2060,1053,1053,G00001979,86
SHERMAN,SHERMAN,NA,229,277,230,278,920,920,G00001980,SHERMAN
49,49,NA,NA,NA,818,864,1092,1092,G00001981,49
MYRTLE AVE,MYRTLE AVE,NA,1195,1197,1170,1180,813,820,G00001982,MYRTLE AVE
DRIGGS AVE,DRIGGS AVE,NA,435,457,436,458,289,280,G00001983,DRIGGS AVE
PENNSYLVANIA AVE,PENNSYLVAN AVE,NA,331,391,334,392,792,792,G00001984,PENNSYLVAN AVE
DUMONT AVE,DUMONT AVE,NA,1013,1035,1014,1036,785,810,G00001985,DUMONT AVE
50,50,NA,1001,1015,1000,1016,1089,1089,G00001986,50
M AVE,M AVE,NA,1801,1805,1800,1806,1009,1009,G00001987,M AVE
GLENWOOD RD,GLENWOOD RD,NA,NA,NA,NA,NA,990,990,G00001988,GLENWOOD RD
W 35,W 35,NA,2901,2961,2900,2962,1045,1045,G00001989,W 35
COLONIAL RD,COLONIAL RD,NA,NA,NA,NA,NA,1100,1100,G00001990,COLONIAL RD
CRESCENT,CRESCENT TER,NA,NA,NA,NA,NA,980,980,G00001991,CRESCENT TER
TROY AVE,TROY AVE,NA,NA,NA,NA,NA,995,995,G00001992,TROY AVE
KENT AVE,KENT AVE,NA,151,165,164,178,282,275,G00001993,KENT AVE
8 AVE,8 AVE,NA,5401,5425,5400,5424,1093,1093,G00001994,8 AVE
ALBEMARLE RD,ALBEMARLE RD,NA,403,411,404,420,925,925,G00001995,ALBEMARLE RD
GARFIELD PL,GARFIELD PL,NA,231,249,226,250,567,566,G00001996,GARFIELD PL
E 10,E 10,NA,1015,1083,1014,1088,1030,1030,G00001997,E 10
HALSEY,HALSEY,NA,363,435,402,476,611,611,G00001998,HALSEY
H AVE,H AVE,NA,4201,4223,4200,4224,996,999,G00001999,H AVE
4 AVE,4 AVE,NA,5301,5323,NA,NA,153,153,G00002000,4 AVE
E 2,E 2,NA,957,981,954,984,1029,1029,G00002001,E 2
L AVE,L AVE,NA,2501,2523,2500,2524,1008,1008,G00002002,L AVE
4 AVE,4 AVE,NA,NA,NA,968,982,136,135,G00002003,4 AVE
O AVE,O AVE,NA,153,175,154,176,1030,1031,G00002004,O AVE
FRANKLIN AVE,FRANKLIN AVE,NA,567,589,564,582,621,169,G00002005,FRANKLIN AVE
4 AVE,4 AVE,NA,NA,NA,4602,4620,144,144,G00002006,4 AVE
COZINE AVE,COZINE AVE,NA,NA,NA,NA,NA,984,984,G00002007,COZINE AVE
E 56,E 56,NA,NA,NA,NA,NA,954,954,G00002008,E 56
4 AVE,4 AVE,NA,961,975,NA,NA,136,135,G00002009,4 AVE
E 92,E 92,NA,1099,1137,1102,1130,987,987,G00002010,E 92
JEROME AVE,JEROME AVE,NA,NA,NA,NA,NA,1033,1033,G00002011,JEROME AVE
60,60,NA,1715,1771,1714,1768,1058,1058,G00002012,60
S AVE,S AVE,NA,1601,1623,1600,1624,1006,1006,G00002013,S AVE
J AVE,J AVE,NA,1201,1223,1200,1224,1406,1406,G00002014,J AVE
BROOKLYN AVE,BKLYN AVE,NA,999,1083,1000,1084,992,992,G00002015,BKLYN AVE
ATLANTIC AVE,ATLANTIC AVE,NA,2671,2691,NA,NA,759,759,G00002016,ATLANTIC AVE
SAINT NICHOLAS AVE,SAINT NICHOLASS AVE,NA,241,261,242,260,877,877,G00002017,SAINT NICHOLASS AVE
12 AVE,12 AVE,NA,7301,7323,7300,7324,1072,1071,G00002018,12 AVE
84,84,NA,1601,1691,1600,1696,1074,1075,G00002019,84
LINCOLN RD,LINCOLN RD,NA,1,61,2,62,682,931,G00002020,LINCOLN RD
CORTELYOU RD,CORTELYOU RD,NA,3009,3023,3008,3024,1404,1404,G00002021,CORTELYOU RD
HICKS,HICKS,NA,395,405,388,406,56,54,G00002022,HICKS
PEARL,PEARL,NA,137,155,140,156,20,18,G00002023,PEARL
1 AVE,1 AVE,NA,5001,5025,5000,5024,150,150,G00002024,1 AVE
FT HAMILTON PKWY,FORT HAMILTON AVE,NA,NA,NA,5802,5824,1068,1088,G00002025,FORT HAMILTON AVE
E 8,E 8,NA,719,735,734,742,1026,1026,G00002026,E 8
E 27,E 27,NA,701,791,700,798,1011,1011,G00002027,E 27
E 27,E 27,NA,2001,2085,2000,2086,1006,1006,G00002028,E 27
59,59,NA,1901,1921,1900,1920,1058,1058,G00002029,59
CENTRAL AVE,CENTRAL AVE,NA,407,425,432,450,896,896,G00002030,CENTRAL AVE
Y AVE,Y AVE,NA,1601,1609,1600,1610,1407,1033,G00002031,Y AVE
BRIGHTON 1 LA,BRIGHTON 1 LN,NA,NA,NA,NA,NA,1035,1035,G00002032,BRIGHTON 1 LN
5 AVE,5 AVE,NA,NA,NA,4202,4228,137,140,G00002033,5 AVE
N AVE,N AVE,NA,9001,9023,9000,9024,989,989,G00002034,N AVE
PARK PL,PARK PL,NA,353,425,356,434,181,192,G00002035,PARK PL
KNICKERBOCKER AVE,KNICKERBOCKER AVE,NA,141,167,146,166,842,841,G00002036,KNICKERBOCKER AVE
49,49,NA,501,583,500,574,147,147,G00002037,49
PROSPECT PL,PROSPECT PL,NA,961,1047,NA,NA,653,653,G00002038,PROSPECT PL
86,86,NA,NA,NA,2850,2878,1038,1038,G00002039,86
BLAKE AVE,BLAKE AVE,NA,25,47,26,48,726,959,G00002040,BLAKE AVE
PILLING,PILLING,NA,65,107,64,106,916,916,G00002041,PILLING
82,82,NA,1,NA,2,NA,1099,1083,G00002042,82
MADISON PL,MADISON PL,NA,NA,NA,NA,NA,1001,1001,G00002043,MADISON PL
OCEAN VIEW AVE,OCEANVIEW AVE,NA,NA,NA,NA,NA,1035,1035,G00002044,OCEANVIEW AVE
NORMAN AVE,NORMAN,NA,171,179,170,184,377,393,G00002045,NORMAN
H AVE,H AVE,NA,NA,NA,NA,NA,1406,1406,G00002046,H AVE
DRIGGS AVE,DRIGGS AVE,NA,505,529,506,528,289,280,G00002047,DRIGGS AVE
4 AVE,4 AVE,NA,9901,9921,9900,9922,1080,1081,G00002048,4 AVE
WILSON AVE,HAMBURG AVE,NA,409,425,384,410,884,896,G00002049,HAMBURG AVE
WEST END AVE,W END AVE,NA,101,199,100,198,1034,1034,G00002050,W END AVE
ESSEX,ESSEX,NA,253,305,234,304,776,776,G00002051,ESSEX
KINGS HWY,KINGSHIGWY,NA,NA,NA,NA,NA,1031,1031,G00002052,KINGSHIGWY
E 24,MANSFIELD PL,NA,465,579,464,542,1011,1010,G00002053,MANSFIELD PL
SEAVIEW AVE,SEA VIEW AVE,NA,NA,NA,NA,NA,989,989,G00002054,SEA VIEW AVE
MYRTLE AVE,MYRTLE AVE,NA,1493,1517,1464,1486,872,872,G00002055,MYRTLE AVE
55,55,NA,401,473,400,474,154,154,G00002056,55
CYPRESS AVE,CYPRESS AVE,NA,NA,NA,NA,NA,NA,861,G00002057,CYPRESS AVE
FLATLANDS AVE,FLATLAND AVE,NA,NA,NA,NA,NA,999,1000,G00002058,FLATLAND AVE
GATES AVE,GATES AVE,NA,63,85,52,76,474,475,G00002059,GATES AVE
48,48,NA,201,285,200,274,142,142,G00002060,48
BROOKLYN AVE,BROOKLYN AVE,NA,405,429,402,426,678,678,G00002061,BROOKLYN AVE
E 23,DELANCEY PL,NA,1601,1669,1616,1670,1007,1007,G00002062,DELANCEY PL
HASTINGS,HASTINGS,NA,101,199,100,198,1034,1034,G00002063,HASTINGS
86,86,NA,NA,NA,582,610,1085,1080,G00002064,86
S 1,S 1,NA,393,401,386,400,310,310,G00002065,S 1
GREENE AVE,GREENE AVE,NA,NA,NA,114,132,99,474,G00002066,GREENE AVE
E 9,E 9,NA,NA,NA,NA,NA,1031,1031,G00002067,E 9
12 AVE,12 AVE,NA,NA,NA,NA,NA,1067,1067,G00002068,12 AVE
MANHATTAN AVE,MANHATTAN AVE,NA,875,895,876,896,382,374,G00002069,MANHATTAN AVE
4 AVE,4 AVE,NA,639,655,NA,NA,122,122,G00002070,4 AVE
ROEBLING,ROEBLING,NA,85,103,88,106,291,291,G00002071,ROEBLING
T AVE,T AVE,NA,NA,NA,NA,NA,1001,1001,G00002072,T AVE
OCEAN PKWY,OCEAN PKWY,NA,NA,NA,108,178,926,925,G00002073,OCEAN PKWY
N 4,N 4,NA,109,139,118,150,286,286,G00002074,N 4
ROGERS AVE,ROGERS AVE,NA,635,663,636,648,934,934,G00002075,ROGERS AVE
4 PL,4 PL,NA,1,43,2,48,79,253,G00002076,4 PL
SUTTER AVE,SUTTER AVE,NA,39,63,NA,NA,726,726,G00002077,SUTTER AVE
E 49,E 49,NA,NA,NA,NA,NA,999,999,G00002078,E 49
R AVE,R AVE,NA,NA,NA,NA,NA,1001,1001,G00002079,R AVE
BATH AVE,BATH AVE,NA,1449,1467,NA,NA,1077,1077,G00002080,BATH AVE
E 74,E 74,NA,2301,2379,2300,2380,1000,1000,G00002081,E 74
COLONIAL RD,COLONIAL RD,NA,NA,NA,NA,NA,1099,1099,G00002082,COLONIAL RD
W 9,W 9,NA,2101,2147,2100,2146,1038,1038,G00002083,W 9
54,54,NA,1801,1887,1800,1886,1060,1060,G00002084,54
70,70,NA,2001,2071,2000,2068,1057,1057,G00002085,70
E 9,E 9,NA,1737,1785,1740,1786,1031,1031,G00002086,E 9
80,WASHINGTON,80,1701,1785,1700,1784,1408,1408,G00002087,WASHINGTON
T AVE,T AVE,NA,NA,NA,NA,NA,1031,1038,G00002088,T AVE
DE KALB AVE,DE KALB AVE,NA,NA,NA,147,155,466,470,G00002089,DE KALB AVE
HOWARD AVE,HOWARD AVE,NA,NA,NA,520,540,665,664,G00002090,HOWARD AVE
HENRY,HENRY,NA,627,645,620,650,79,77,G00002091,HENRY
LIVONIA AVE,LIVONIA AVE,NA,797,811,774,784,808,808,G00002092,LIVONIA AVE
E 14,E 14,NA,915,981,914,972,1406,1406,G00002093,E 14
JUGHANDLE,JUG HANDLE TURN,NA,NA,NA,NA,NA,1034,1034,G00002094,JUG HANDLE TURN
WASHINGTON AVE,WASHINGTON AVE,NA,NA,NA,NA,NA,193,192,G00002095,WASHINGTON AVE
D AVE,D AVE,NA,3101,3113,3100,3112,994,1405,G00002096,D AVE
E 73,E 73,NA,2201,2275,2200,2276,1000,1000,G00002097,E 73
DE WITT AVE,VIENNA AVE,NA,NA,NA,NA,NA,986,986,G00002098,VIENNA AVE
E 7,E 7,NA,1119,1171,1116,1172,1030,1030,G00002099,E 7
GEORGIA AVE,GEORGIA AVE,NA,221,220,259,260,756,750,G00002100,GEORGIA AVE
LOTT AVE,LOTT AVE,NA,NA,NA,NA,NA,964,964,G00002101,LOTT AVE
74,74,NA,29,NA,30,NA,1100,1100,G00002102,74
BUSHWICK AVE,BUSHWICK AVE,NA,1371,1385,1368,1386,914,914,G00002103,BUSHWICK AVE
STOCKHOLM,STOCKHOLM,NA,107,113,110,122,828,828,G00002104,STOCKHOLM
BEDFORD AVE,BEDFORD AVE,NA,793,853,814,884,476,89,G00002105,BEDFORD AVE
ALBANY AVE,ALBANY AVE,NA,541,563,542,564,948,941,G00002106,ALBANY AVE
E 52,E 52,NA,NA,NA,NA,NA,1000,1000,G00002107,E 52
ALABAMA AVE,ALABAMA AVE,NA,487,525,480,482,806,805,G00002108,ALABAMA AVE
NOSTRAND AVE,NOSTRAND AVE,NA,313,331,352,370,581,578,G00002109,NOSTRAND AVE
OLIVER,OLIVER,NA,NA,NA,NA,NA,1082,1082,G00002110,OLIVER
BROOKLYN AVE,BROOKLYN AVE,NA,NA,NA,NA,NA,669,669,G00002111,BROOKLYN AVE
41,41,NA,NA,NA,NA,NA,1090,1090,G00002112,41
W PLZ,W PLZ,NA,NA,NA,NA,NA,192,NA,G00002113,W PLZ
E 29,E 29,NA,2401,2465,2400,2466,1004,1004,G00002114,E 29
4 AVE,4 AVE,NA,8301,8315,8300,8324,1085,1084,G00002115,4 AVE
NOSTRAND AVE,NOSTRAND AVE,NA,205,225,240,260,489,485,G00002116,NOSTRAND AVE
DITMAS AVE,DITMAS AVE,NA,1403,1423,1402,1422,1025,1025,G00002117,DITMAS AVE
E 45,E 45,NA,NA,NA,NA,NA,996,996,G00002118,E 45
CHAUNCEY AVE,CHAUNCEY AVE,NA,NA,NA,NA,NA,428,428,G00002119,CHAUNCEY AVE
BAY 41,BAY 41,NA,NA,NA,NA,NA,1049,1049,G00002120,BAY 41
ROGERS AVE,ROGERS AVE,NA,961,1023,960,1022,1404,1015,G00002121,ROGERS AVE
42,42,NA,NA,NA,1700,1702,1027,1027,G00002122,42
E 7,E 7,NA,1393,1469,1394,1470,1030,1030,G00002123,E 7
E 104,104,NA,1001,1083,1000,1084,988,988,G00002124,104
M AVE,M AVE,NA,2303,2315,2304,2316,1008,1008,G00002125,M AVE
3,3,NA,NA,NA,NA,NA,523,523,G00002126,3
JEFFERSON AVE,JEFFERSON AVE,NA,345,411,346,416,607,607,G00002127,JEFFERSON AVE
45,45,NA,1301,1379,1300,1380,1063,1063,G00002128,45
E 17,E 17,NA,NA,NA,720,762,1406,1406,G00002129,E 17
RALPH AVE,RALPH AVE,NA,NA,NA,NA,NA,990,990,G00002130,RALPH AVE
E 17,E 17,NA,NA,NA,NA,NA,1009,1009,G00002131,E 17
REMSEN,REMSEN,NA,59,99,60,98,7,7,G00002132,REMSEN
MALCOLM X BLVD,REID AVE,NA,23,37,18,36,522,520,G00002133,REID AVE
BRIGHTON 4 LA,LINDEN CT,NA,NA,NA,NA,NA,1035,1035,G00002134,LINDEN CT
KIMBALL,KIMBALL,NA,2001,2083,2000,2084,1001,1001,G00002135,KIMBALL
E 92,E 92,NA,NA,NA,NA,NA,957,957,G00002136,E 92
FLATLANDS AVE,FLATLAND AVE,NA,10301,10323,10300,10324,987,988,G00002137,FLATLAND AVE
E 17,E 17,NA,1423,1507,1424,1510,1007,1007,G00002138,E 17
SHORE BLVD,SHORE BLVD,NA,NA,NA,1600,1640,1034,1034,G00002139,SHORE BLVD
44,44,NA,1501,1583,1500,1582,1063,1063,G00002140,44
92,92,NA,NA,NA,568,584,1080,1079,G00002141,92
RUGBY RD,RUGBY RD,NA,777,793,770,794,1406,1406,G00002142,RUGBY RD
FLATBUSH AVE,FLATBUSH AVE,NA,145,161,162,170,163,162,G00002143,FLATBUSH AVE
BEDFORD AVE,BEDFORD AVE,NA,NA,NA,2,16,387,387,G00002144,BEDFORD AVE
VAN DYKE,VANDYKE,NA,75,139,76,140,240,241,G00002145,VANDYKE
DIKEMAN,DIKEMAN,NA,21,61,22,62,247,247,G00002146,DIKEMAN
K AVE,K AVE,NA,901,923,900,924,1030,1030,G00002147,K AVE
W 10,W 10,NA,1401,1411,1400,1410,1030,1030,G00002148,W 10
NEWPORT,VANDERVEER AVE,VANDERVEER AVE,NA,NA,NA,NA,962,962,G00002149,VANDERVEER AVE
4 AVE,4 AVE,NA,8801,8809,8806,8814,1080,1084,G00002150,4 AVE
METROPOLITAN AVE,METROPOLITAN AVE,NA,513,587,516,588,299,309,G00002151,METROPOLITAN AVE
41,41,NA,701,773,700,774,138,138,G00002152,41
