XCoord,YCoord,OBJECTID,BK_STREET1910_FULL_STREE,BK_STREET1910_Y1910NAMESTREET,BK_STREET1910_Y1910LEFT_LOW,BK_STREET1910_Y1910LEFT_HIGH,BK_STREET1910_Y1910RIGHT_LOW,BK_STREET1910_Y1910RIGHT_HIGH,BK_STREET1910_JOINID,BK_STREET1910_Y1910NAMEALT,BK_STREET1910_MINUS_ED_ED,BK_STREET1910_PLUS_ED_ED
991471.77852347,173970.63242356,129,OCEAN PKWY,NULL,181,255,NULL,NULL,G00000264,NULL,1021,1021
986395.87004013,192342.32747144,130,CLINTON ST,NULL,49,65,58,76,G00000265,NULL,12,7
1003573.43689884,187683.09482797,131,DECATUR ST,NULL,305,373,294,358,G00000266,NULL,620,620
1002317.67136577,184651.55741993,132,PROSPECT PL,NULL,1211,1289,1216,1300,G00000267,NULL,648,648
986455.24820222,171283.87959497,133,47 ST,NULL,1215,1267,1214,1268,G00000269,NULL,1410,1410
1012728.00471172,185447.83535493,134,ATLANTIC AVE,NULL,NULL,NULL,2620,2634,G00000270,NULL,753,754
989477.12519652,159876.67324277,135,W  8 ST,NULL,1701,1709,1702,1710,G00000272,NULL,1031,1031
983667.48802972,177812.70151106,136,34 ST,NULL,191,233,NULL,NULL,G00000275,NULL,132,133
990984.50571193,170472.73292331,137,E  3 ST,NULL,679,741,676,738,G00000276,NULL,1027,1027
1003859.19075647,198339.09516948,138,SCHOLES ST,NULL,NULL,NULL,NULL,NULL,G00000277,NULL,416,416
1001881.55379967,198208.18991948,139,MEADOW ST,NULL,1,39,2,40,G00000278,NULL,417,417
989664.49408030,195415.98684248,140,EVANS ST,NULL,11,25,12,22,G00000279,NULL,41,42
997331.16444247,148594.22090615,141,ESPLANADE,NULL,NULL,NULL,NULL,NULL,G00000281,NULL,1034,1034
1011406.57871285,168826.26968081,142,E  84 ST,NULL,1301,1383,1302,1384,G00000282,NULL,989,989
988652.41080263,154545.39141848,143,STILLWELL AVE,NULL,NULL,NULL,NULL,NULL,G00000284,NULL,1038,1048
989529.22007263,164344.22483914,144,21 AVE,NULL,6001,6023,NULL,NULL,G00000285,NULL,1058,1058
997922.65112039,181699.21440731,145,MONTGOMERY ST,NULL,347,353,350,370,G00000289,NULL,677,677
1003257.22690135,177085.71641648,146,E  49 ST,NULL,339,409,340,410,G00000293,NULL,951,951
986208.54725205,194978.17308556,147,DOUGHTY ST,NULL,51,61,50,58,G00000296,NULL,1,1
1007545.73193981,182508.96672481,148,STRAUSS ST,NULL,1847,1943,1872,1940,G00000298,DOUGLASS ST,728,728
999360.32852717,150201.33038877,149,GIRARD ST,NULL,101,199,100,198,G00000299,NULL,1034,1034
998972.83807042,186406.42642042,150,NEW YORK AVE,NULL,NULL,NULL,NULL,NULL,G00000300,NULL,625,624
995181.97746789,205881.97673723,151,INDIA ST,NULL,1,27,2,28,G00000302,NULL,360,360
997817.47744622,200679.79750906,152,FROST ST,NULL,1,47,2,50,G00000303,NULL,297,297
1015703.14803964,185065.07841048,153,GLENMORE AVE,NULL,631,655,632,656,G00000304,NULL,779,780
1012850.68172134,182781.57102014,154,GEORGIA AVE,NULL,309,367,310,368,G00000306,NULL,792,792
1001330.85280135,169617.15212136,155,H AVE,NULL,3901,3923,3902,3924,G00000307,NULL,996,996
982707.07672876,186682.21920507,156,COLUMBIA ST,NULL,NULL,NULL,NULL,NULL,G00000308,NULL,252,245
1006039.95903272,163006.48981777,157,E  55 ST,NULL,1715,1759,1716,1760,G00000309,NULL,1001,1001
999184.48750747,199672.75063864,158,MANHATTAN AVE,NULL,305,323,312,330,G00000311,NULL,302,306
1002603.43047059,156677.59517393,159,AVE W,NULL,NULL,NULL,NULL,NULL,G00000314,NULL,1003,1003
1021093.96058476,189702.58389922,160,ELDERT LN,NULL,NULL,NULL,NULL,NULL,G00000316,NULL,970,970
1008511.69457480,184864.64738090,161,BERGEN ST,BERGEN ST,2011,2081,2012,2086,G00000319,NULL,641,641
981577.27747918,168267.79638831,162,TENTH AVE,NULL,NULL,6702,6724,6701,G00000320,NULL,1068,1068
999575.50050497,173301.22103272,163,E  34 ST,NULL,537,617,538,618,G00000323,NULL,994,994
1004049.68315764,170868.35089848,164,UTICA AVE,NULL,NULL,NULL,NULL,NULL,G00000324,NULL,995,995
1018807.71040005,184705.72725910,165,BELMONT AVE,NULL,895,913,896,908,G00000327,NULL,978,978
1017182.53976589,185588.49452244,166,SHEPHERD AVE,NULL,337,363,336,364,G00000328,NULL,777,777
991271.80681056,177282.14482939,167,REEVE PL,NULL,31,61,28,52,G00000330,NULL,920,920
1009067.92541772,169941.85307956,168,E  80 ST,NULL,NULL,NULL,NULL,NULL,G00000331,NULL,989,989
986338.18970931,157775.95254264,169,23 AVE,NULL,8601,8671,8602,8666,G00000332,NULL,1050,1051
1014785.58917922,185802.78690881,170,ATLANTIC AVE,NULL,NULL,NULL,2818,2840,G00000334,NULL,766,766
987830.78278573,193005.49655049,171,JAY ST,NULL,259,269,260,286,G00000335,NULL,38,38
1006209.28120064,184701.66886827,172,SAINT MARK'S AVE,NULL,1393,1457,1396,1462,G00000339,NULL,638,646
999378.03042747,188411.32335839,173,JEFFERSON AVE,NULL,271,343,274,344,G00000340,NULL,606,606
990076.98577091,171671.89315212,174,CORTELYOU RD,NULL,NULL,NULL,NULL,NULL,G00000341,NULL,1022,1022
993386.19267364,184857.79716493,175,UNDERHILL AVE,NULL,NULL,NULL,NULL,NULL,G00000342,NULL,192,192
994993.40008914,168683.19417956,176,E  16 ST,NULL,NULL,NULL,NULL,NULL,G00000344,NULL,1406,1406
993444.29377134,174849.24090257,177,ALBEMARLE RD,NULL,1301,1325,NULL,NULL,G00000345,NULL,1019,1019
1012375.95341015,181816.96009266,178,DUMONT AVE,NULL,533,563,542,564,G00000346,NULL,805,805
975607.80795489,165377.21161830,179,90 ST,LEXINGTON AVE,301,367,302,368,G00000351,NULL,1081,1081
983605.17352181,163291.45463498,180,16 AVE,NULL,7701,7723,7702,7724,G00000353,NULL,1074,1074
990544.95934693,184110.99764147,181,SEVENTH AVE,NULL,161,171,156,170,G00000356,NULL,566,566
995168.73930538,192145.09869923,182,MYRTLE AVE,NULL,579,597,586,602,G00000358,NULL,83,94
998451.84953705,173847.25028843,183,NOSTRAND AVE,NULL,1707,1731,1696,1744,G00000359,NULL,1404,1404
981506.52630834,162109.75768735,184,86 ST,NULL,NULL,NULL,1464,1484,G00000360,NULL,1077,1077
996311.93255705,200861.92476948,185,N  8 ST,NULL,157,195,156,198,G00000363,NULL,280,288
987850.56857430,184283.82341132,186,FOURTH AVE,NULL,NULL,NULL,378,396,G00000364,NULL,539,523
986260.17477347,156209.86151472,187,BATH AVE,NULL,2401,2421,2402,2422,G00000365,NULL,1050,1050
1001104.33258510,196849.34257156,188,JOHNSON AVE,NULL,243,259,228,246,G00000368,NULL,340,342
1005069.52537305,186682.71349910,189,FULTON ST,NULL,1813,1829,1858,1872,G00000370,NULL,703,704
984700.90751404,181980.41763183,190,19 ST,NULL,1,109,2,110,G00000373,NULL,115,115
1002298.59856927,163641.48674331,191,AVENUE Q,NULL,NULL,NULL,NULL,NULL,G00000375,NULL,1001,1001
975586.93365280,168911.66321081,192,RIDGE BLVD,NULL,7701,NULL,7702,NULL,G00000377,NULL,1413,1099
1008924.79561868,191109.18869756,193,WEIRFIELD ST,NULL,177,233,180,236,G00000378,NULL,905,907
973686.11068280,168054.30928247,194,NARROWS AVE,NULL,NULL,NULL,NULL,NULL,G00000379,NULL,1083,1083
984404.87992764,165196.34747873,195,70 AVE,NULL,1501,NULL,1502,NULL,G00000380,NULL,1412,1412
1014281.85577068,185730.31198815,196,ATLANTIC AVE,NULL,2767,2783,NULL,NULL,G00000381,NULL,764,764
1001546.82677885,165064.62874610,197,FLATLAND AVE,NULL,NULL,NULL,NULL,NULL,G00000382,NULL,1008,1001
985234.66501347,167919.20456581,198,60 ST,NULL,NULL,NULL,NULL,NULL,G00000386,NULL,1059,1059
1018315.37870756,181632.71519648,199,SHEPHERD AVE,NULL,NULL,NULL,752,806,G00000388,NULL,983,983
992804.21171818,170828.24878052,200,E  9 ST,NULL,517,563,514,564,G00000391,NULL,1026,1026
995198.22588498,179420.50839474,201,FLATBUSH AVE,NULL,581,699,578,604,G00000394,NULL,931,931
982299.35116626,168550.67804039,202,65 ST,NULL,1001,1071,1002,1078,G00000395,NULL,1068,1068
985163.29212472,187269.33745340,203,COURT ST,NULL,369,406,388,383,G00000396,NULL,217,78
986947.67693120,149565.95948388,204,W  23 ST,NULL,2801,2881,2802,2880,G00000397,NULL,1046,1046
992976.53322393,198107.76098648,205,KENT AVE,NULL,403,421,404,422,G00000400,NULL,270,270
997412.33061872,198819.08600739,206,KEAP ST,NULL,443,459,432,450,G00000401,NULL,307,308
1002364.11681093,168415.90632831,207,E  43 ST,NULL,NULL,NULL,NULL,NULL,G00000402,NULL,999,999
995317.96472872,187770.96866798,208,FULTON ST,NULL,1035,1055,1004,1038,G00000405,NULL,112,112
998646.57355706,164469.50526444,209,E  27 ST,NULL,1301,1385,1302,1386,G00000406,NULL,1008,1008
1006651.20616980,196533.02758739,210,SAINT NICHOLAS'S AVE,NULL,81,101,82,102,G00000407,NULL,864,864
999564.21935955,175021.34882606,211,TILDEN AVE,NULL,3401,3423,3402,NULL,G00000408,NULL,992,992
1001619.04792705,196652.48765031,212,BOERUM ST,NULL,219,291,218,290,G00000411,NULL,421,421
984377.74579555,160355.92277639,213,19 AVE,NULL,8401,8417,8402,8422,G00000412,NULL,1054,1055
1001546.47622180,193699.02685777,214,BROADWAY,NULL,867,883,872,880,G00000417,NULL,812,517
983186.61317126,167157.86586539,215,67 ST,NULL,1201,1279,1202,1280,G00000421,NULL,1070,1070
1004377.97416772,166877.02325123,216,UTICA AVE,NULL,NULL,NULL,NULL,NULL,G00000423,NULL,1000,1000
995915.66696828,196270.28530369,217,KEAP ST,NULL,173,233,176,236,G00000424,NULL,436,441
997411.26106706,166513.81367581,218,K AVE,NULL,2301,2317,2302,2318,G00000426,NULL,1008,1008
1000437.64609039,174163.95552773,219,CORTELYOU RD,NULL,NULL,NULL,NULL,NULL,G00000429,NULL,992,992
1000926.14577012,193835.48245396,220,PARK AVE,NULL,851,899,850,904,G00000430,NULL,506,508
998580.65833455,152891.94164140,221,VOORHEES AVE,NULL,2001,2021,2002,2022,G00000432,NULL,1004,1004
1017522.83567322,185887.87548535,222,LIBERTY AVE,NULL,789,815,792,816,G00000433,NULL,974,977
998316.34357447,179807.59105802,223,MIDWOOD ST,NULL,315,379,312,388,G00000434,NULL,940,940
1009959.70952744,192932.87746902,224,HANCOCK ST,NULL,1389,NULL,1390,NULL,G00000437,NULL,NULL,NULL
1000520.63296510,168264.39580456,225,BKLYN AVE,NULL,1767,1849,1768,1850,G00000438,NULL,999,999
1009588.17568956,185199.77778018,226,EAST PKWY,NULL,NULL,NULL,1814,1844,G00000439,NULL,643,643
1000175.64202122,167801.95906539,227,J AVE,NULL,NULL,NULL,NULL,NULL,G00000443,NULL,1008,1008
1009805.57945422,172748.13125964,228,E  89 ST,NULL,739,739,714,742,G00000444,NULL,990,990
981405.99173252,174955.34009981,229,48 ST,NULL,401,475,402,476,G00000449,NULL,144,148
986021.50727180,160546.80165973,230,80 ST,NULL,2001,2083,2002,2084,G00000450,NULL,1057,1057
1009614.19335405,172571.97610014,231,E  88 ST,NULL,701,749,702,750,G00000454,NULL,990,990
994415.46161247,172681.24687898,232,E  16 ST,NULL,367,413,372,430,G00000455,NULL,1014,1024
981546.65254043,165089.14460915,233,77 ST,NULL,1201,1273,1202,1284,G00000456,NULL,1072,1072
995753.79883081,199063.18328822,234,ROEBLING ST,NULL,193,175,194,180,G00000460,NULL,266,265
997750.24989039,172554.06537481,235,ROGERS AVE,NULL,1191,1213,1198,1222,G00000462,NULL,1405,1012
974677.08803155,168613.48303289,236,COLONIAL RD,NULL,7901,NULL,7902,NULL,G00000468,NULL,1099,1099
1017357.91179048,184668.74062048,237,SHEPHERD AVE,NULL,437,471,426,454,G00000473,NULL,777,777
995890.25689122,167182.37697122,238,J AVE,NULL,1801,1823,1804,1820,G00000478,NULL,1008,1008
985008.94203972,172596.98851731,239,TENTH AVE,NULL,4601,4623,4602,4624,G00000480,NULL,1089,1089
996181.97874872,160474.61676473,240,E  16 ST,NULL,1701,1781,1702,1798,G00000483,NULL,1007,1007
994800.89227206,169099.22025039,241,WELLINGTON CT,NULL,15,65,16,66,G00000485,NULL,1406,1406
1004431.99653342,194877.85045156,242,WILSON AVE,HAMBURG AVE,93,107,96,110,G00000486,NULL,845,834
992937.37582193,171200.55774719,243,DITMAS AVE,NULL,901,925,902,936,G00000493,NULL,1023,1026
994662.20816622,199473.04303281,244,S  1 ST,NULL,109,147,108,140,G00000494,NULL,263,263
984102.20336764,187673.91833714,245,HENRY ST,NULL,569,587,554,572,G00000496,NULL,79,75
993978.56944164,150289.31430072,246,BRGHTN 3 ST,NULL,NULL,NULL,NULL,NULL,G00000497,NULL,1035,1035
998480.75039789,184923.42351006,247,PROSPECT PL,NULL,797,865,802,876,G00000498,NULL,654,654
1003353.08120439,180987.68531856,248,E  NEW YORK AVE,NULL,NULL,NULL,NULL,NULL,G00000501,NULL,949,949
1000891.12779497,204146.41262306,249,MORGAN AVE,NULL,647,681,648,682,G00000502,NULL,396,396
1005283.73187064,186389.84790660,250,HERKIMER ST,NULL,869,891,870,892,G00000503,NULL,705,705
982078.59225739,173923.64285218,251,6 AVE,NULL,4901,4923,4902,4922,G00000504,NULL,147,147
